"check","msg","group","dataset_id","contributor"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_RG78QM","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_RG78QM","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_SGNHNA","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_SGNHNA","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_SVQ1XQ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_SVQ1XQ","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_TRII7V","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_TRII7V","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_TV90PW","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_TV90PW","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_TWMICE","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_TWMICE","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_UMYOUM","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_UMYOUM","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_UZQBGX","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_UZQBGX","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_VNZJ5I","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_VNZJ5I","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_W2H2SL","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_W2H2SL","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_W3L3BL","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_W3L3BL","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_WORMEW","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_WORMEW","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_WYCUMH","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_WYCUMH","Robert Hijmans"
"NA terms","NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_X3MA2Z","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_X3MA2Z","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_XA7ORX","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_XA7ORX","Robert Hijmans"
"NA terms","NA in: K_fertilizer, P_fertilizer, N_fertilizer","agronomy","doi_10.7910_DVN_ZRZUUJ","Robert Hijmans"
"all uppercase","names in uppercase: site","agronomy","doi_10.7910_DVN_ZRZUUJ","Robert Hijmans"
