name,type,unit,required,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
grain_weight,numeric,g,no,,no,0,1000,yes,1000 grain weight,,TO_0000382
fertilizer_type,character,,no,fertilizer_type,yes,,,yes,Name of fertilizer used,,CHEBI_33287
N_fertilizer,numeric,kg/ha,fertilizer,,no,0,600,no,N applied in inorganic fertilizer,,AGRO_00000158
N_splits,integer,,no,,no,0,5,yes,Number of splits in the N_fertilizer application,,
P_fertilizer,numeric,kg/ha,fertilizer,,no,0,250,no,"P applied in inorganic fertilizer (as P, not P2O5)",,AGRO_00000160 
K_fertilizer,numeric,kg/ha,fertilizer,,no,0,300,no,"K applied in inorganic fertilizer (as K, not K2O)",,AGRO_00000201
Zn_fertilizer,numeric,kg/ha,no,,no,0,100,yes,Zn applied in inorganic fertilizer,,
S_fertilizer,numeric,kg/ha,no,,no,0,250,yes,S applied in inorganic fertilizer,,TO_0000658
B_fertilizer,numeric,kg/ha,no,,no,0,100,yes,B applied in inorganic fertilizer,,
Ca_fertilizer,numeric,kg/ha,no,,no,0,250,yes,Ca applied in inorganic fertilizer,,
Mg_fertilizer,numeric,kg/ha,no,,no,0,250,yes,Mg applied in inorganic fertilizer,,
lime,numeric,kg/ha,no,,no,0,10000,yes,lime applied,,
gypsum,numeric,kg/ha,no,,no,0,10000,yes,gypsum applied,,
OM_used,logical,,no,,no,,,yes,Organic fertilizer applied,,AGRO_00002039
OM_type,character,,no,OM,yes,,,yes,Type of organic fertilzer applied,,AGRO_00002039
OM_applied,numeric,kg/ha,no,,no,0,,yes,Amount of organic fertilizer applied,,AGRO_00010008
OM_N,numeric,kg/ha,no,,no,0,,yes,N applied in organic fertilizer,,AGRO_00000158
OM_P,numeric,kg/ha,no,,no,0,,yes,P applied in organic fertilizer,,AGRO_00000160
OM_K,numeric,kg/ha,no,,no,0,,yes,K applied in organic fertilizer,,AGRO_00000201
inoculated,logical,,no,,no,,,yes,Was the field inoculated (with Rhizobium),,
inoculant,character,,no,,no,,,yes,Name of the inoculant product,,
irrigated,logical,,no,,no,,,yes,Was the plot irrigated?,,AGRO_00000006
irrigation_source,character,,no,,no,,,yes,the source of irrigation water,,
irrigation_number,integer,,no,,no,0,50,yes,How many times was the crop irrigated?,,
irrigation_amount,numeric,mm,no,,no,0,1000,yes,The total irrigation amount applied to the crop,,
tillage,character,,no,,no,,,yes,Tillage used,,AGRO_00000322
planting_method,character,,no,,no,,,yes,Planting (sowing) method,,
transplanting_method,character,,no,,no,,,yes,(rice) transplanting method,,
uncertainty,numeric,,no,,no,0,,yes,Measure of noise in data ,,
uncertainty_type,character,,no,,no,,,yes,Type of noise measure,,
row_spacing,numeric,cm,no,,no,0,150,yes,Distance between rows,,
plant_spacing,numeric,cm,no,,no,0,100,yes,Distance between plants,,AGRO_00000316
plant_density,numeric,plants/ha,no,,no,1000,3100000,yes,Number of plants per ha,,PCO_0000079
rain,numeric,mm,no,,no,0,3000,yes,Total rainfall between planting and harvest,,ENVO_01000830
emergence,numeric,,no,,no,3,90,yes,Days to emergence (after planting),,
heading,numeric,,no,,no,25,300,yes,Days to heading (after planting),,
flowering,numeric,,no,,no,15,250,yes,Days to flowering (after planting),,TO_0000344
silking,numeric,,no,,no,30,125,yes,Days to silking (after planting),,
maturity,numeric,,no,,no,45,300,yes,Days to maturity (after planting),,
harvest,numeric,,no,,no,45,300,yes,Days to harvest (after planting),,
plant_height,numeric,cm,no,,no,10,250,yes,Maximum plant height,,
pathogen,character,,no,pathogen,yes,,,yes,Name of the pathogen studied,,
AUDPC,numeric,,no,,no,0,150,yes,Area under the disease progress curve,,
rAUDPC,numeric,,no,,no,0,1,yes,Area under the disease progress curve divided by the non-diseased season length,,
weeds_biomass,numeric,kg/ha,no,,no,0,100000,yes,Fresh weight weeds biomass,,
nodule_weight,numeric,?,no,,no,0,,yes,Fresh weight or root nodules,,
leaf_N,numeric,kg/ha,no,,no,,,yes,nitrogen in leaf,,
leaf_K,numeric,kg/ha,no,,no,,,yes,potassium in leaf,,
leaf_P,numeric,kg/ha,no,,no,,,yes,phosphorous in leaf,,
leaf_S,numeric,kg/ha,no,,no,,,yes,sulphur in leaf,,
leaf_Mg,numeric,kg/ha,no,,no,,,yes,calcium in leaf,,
leaf_Ca,numeric,kg/ha,no,,no,,,yes,iron in leaf,,
leaf_Fe,numeric,kg/ha,no,,no,,,yes,zinc in leaf,,
leaf_Zn,numeric,kg/ha,no,,no,,,yes,zinc in leaf,,
leaf_Cu,numeric,kg/ha,no,,no,,,yes,copper in leaf,,
leaf_Mn,numeric,kg/ha,no,,no,,,yes,manganese in leaf,,
leaf_B,numeric,kg/ha,no,,no,,,yes,boron in leaf,,
leaf_Al,numeric,kg/ha,no,,no,,,yes,aluminium in leaf,,
grain_N,numeric,kg/ha,no,,no,,,yes,nitrogen in grain,,
grain_K,numeric,kg/ha,no,,no,,,yes,potassium in grain,,
grain_P,numeric,kg/ha,no,,no,,,yes,phosphorous in grain,,
grain_S,numeric,kg/ha,no,,no,,,yes,sulphur in grain,,
grain_Mg,numeric,kg/ha,no,,no,,,yes,calcium in grain,,
grain_Ca,numeric,kg/ha,no,,no,,,yes,iron in grain,,
grain_Fe,numeric,kg/ha,no,,no,,,yes,zinc in grain,,
grain_Zn,numeric,kg/ha,no,,no,,,yes,zinc in grain,,
grain_Cu,numeric,kg/ha,no,,no,,,yes,copper in grain,,
grain_Mn,numeric,kg/ha,no,,no,,,yes,manganese in grain,,
grain_B,numeric,kg/ha,no,,no,,,yes,boron in grain,,
grain_Al,numeric,kg/ha,no,,no,,,yes,aluminium in grain,,
residue_N,numeric,kg/ha,no,,no,,,yes,nitrogen in residue,,
soil_constraint,character,,no,,no,,,yes,soil constriaint (e.g. saline),,
season_constraint,character,,no,,no,,,yes,"a constraint that occurred in this particular season (e.g. drought, flood)",,
herbicide_used,logical,,no,,no,,,yes,was a herbicide used?,,
herbicide_product,character,,no,,no,,,yes,name of the active ingredient,,
herbicide_timing,integer,,no,,no,,,yes,days after (or before) planting,,
herbicide_amount,numeric,?,no,,no,,,yes,how much was used?,,
pesticide_used,logical,,no,,no,,,yes,was a herbicide used?,,
pesticide_product,character,,no,,no,,,yes,name of the active ingredient,,
pesticide_timing,integer,,no,,no,,,yes,days after (or before) planting,,
pesticide_amount,numeric,?,no,,no,,,yes,how much was used?,,
fungicide_used,logical,,no,,no,,,yes,was a herbicide used?,,
fungicide_product,character,,no,,no,,,yes,name of the active ingredient,,
fungicide_timing,integer,,no,,no,,,yes,days after (or before) planting,,
fungicide_amount,numeric,?,no,,no,,,yes,how much was used?,,
