title	author	year_pub	provider	country	crop	uri	open_access	checked	in_carob	carobid	carob_url	carob_contributor	carob_folder	duplicate	
TZN Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey	International Food Policy Research Institute (IFPRI)	2015	IFPRI	TZA		https://doi.org/10.7910/DVN/PPUL2W	FALSE								
MOZ Cell Phone Savings Project: Endline Survey	International Food Policy Research Institute (IFPRI); Associacao Nutricao Serguranca Alimentar de MOZ (ANSA)	2017	IFPRI	MOZ		https://doi.org/10.7910/DVN/PTKJ1J	TRUE								
Rice production with less irrigation water is possible in a Sahelian environment	Michiel E. de Vries (Plant Production Systems, Wageningen University, P.O. Box 430, 6700 AK Wageningen, The Netherlands, Africa Rice Center AfricaRice â€“ Sahel Station, BP 96 St Louis,SEN); Jonne Rodenburg (Africa Rice Center (AfricaRice) â€“ East and Southern Africa Rice Program, P.O. Box 33581, Dar es Salaam, TZN); Boubie V. Bado (Africa Rice Center (AfricaRice) â€“ Sahel Station, BP 96 St Louis, SEN); Abdoualye Sow (Africa Rice Center (AfricaRice) â€“ Sahel Station, BP 96 St Louis, SEN); Peter A. Leffelaar (Plant Production Systems, Wageningen University, P.O. Box 430, 6700 AK Wageningen, The Netherlands); Ken E. Giller (Plant Production Systems, Wageningen University, P.O. Box 430, 6700 AK Wageningen, The Netherlands)	2012	AfricaRice	SEN		https://doi.org/10.7910/DVN/QVDRV7	FALSE								
ETH Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey	International Food Policy Research Institute (IFPRI)	2016	IFPRI	ETH		https://doi.org/10.7910/DVN/H6RWOO	FALSE								
GHA Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey	International Food Policy Research Institute (IFPRI)	2015	IFPRI	GHA		https://doi.org/10.7910/DVN/QUB9UT	FALSE								
MLI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey	International Food Policy Research Institute (IFPRI)	2015	IFPRI	MLI		https://doi.org/10.7910/DVN/UDKSBJ	FALSE								
MWI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey	International Food Policy Research Institute (IFPRI)	2015	IFPRI	MWI		https://doi.org/10.7910/DVN/28557	FALSE								
Africa Soil Information System - Phase 1, Kasungu	Huising, Jeroen	2018	IITA	MWI		https://doi.org/10.25502/20180814/0923/HJ	TRUE		TRUE	doi_10.25502_20180814_0923_HJ.R	carob/doi_10.25502_20180814_0923_HJ.R at master · reagro/carob · GitHub	CN	fertilizer		
OCP validation trials for Maize fertilizers, Bayero University Kano - NGA	Huising, Jeroen	2019	IITA	NGA	Maize	https://doi.org/10.25502/RGB5-GA15/D	TRUE	TRUE	TRUE	doi_org_10.25502_RGB5_GA15_D.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_org_10.25502_RGB5_GA15_D.R	CN	fertilizer		
OCP validation trials for Maize fertilizers, OCP - NGA	Huising, Jeroen	2019	IITA	NGA	Maize	https://doi.org/10.25502/pakr-y904/d	TRUE	TRUE	TRUE	doi_10.25502_PAKR-Y904_D.R	carob/doi_10.25502_PAKR-Y904_D.R at master · reagro/carob · GitHub	CN	fertilizer		
OCP validation trials for Maize fertilizers, National Agricultural Extension and Research Liaison Services (NAERLS) - NGA	Huising, Jeroen	2021	IITA	NGA	Maize	https://doi.org/10.25502/rhv4-6g25/d	TRUE	TRUE	TRUE	NA				doi_10.25502_PAKR-Y904_D.R	
OCP validation trials for Maize fertilizers,  Institute for Agricultural Research (IAR) - NGA	Huising, Jeroen	2021	IITA	NGA	Maize	https://doi.org/10.25502/3348-6831/d	TRUE	TRUE	TRUE	NA				doi_10.25502_PAKR-Y904_D.R	
Nutrient omission trials cassava root yield data from NGA and TZN	Pypers, Pieter	2020	IITA	NGA,TZN	Cassava	https://doi.org/10.25502/7xqn-bb55/d	TRUE	FALSE	FALSE	NA					
N2Africa agronomy trials - Ehtiopia, 2013	Vanlauwe, Bernard	2020	IITA	ETH	Groundnut, Soybean, Common beans	https://doi.org/10.25502/x2h1-at51/d	TRUE	TRUE	TRUE	doi_10.25502_X2H1-AT51_D.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_X2H1-AT51_D.R 	RM	fertilizer		
N2Africa agronomy trials harvest - UGA, 2016, I	Vanlauwe, Bernard	2020	IITA	UGA	Groundnut, Soybean, Common beans	https://doi.org/10.25502/2788-9j45	TRUE	FALSE	FALSE	NA					
N2Africa agronomy trials harvest - UGA, 2016, II	Vanlauwe, Bernard	2020	IITA	UGA	Groundnut, Soybean, Common beans	https://doi.org/10.25502/9kj5-mb56	TRUE	FALSE	FALSE	NA					
N2Africa agronomy trials - KEN, 2010	Vanlauwe, Bernard	2020	IITA	KEN	Groundnut, Soybean, Common beans	https://doi.org/10.25502/6g5b-rm44/d	TRUE	TRUE	TRUE	doi_10.25502_6G5B-RM44_D.R 	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_6G5B-RM44_D.R	RM & EO	fertilizer		
N2Africa agronomy trials - KEN, 2011	Vanlauwe, Bernard	2020	IITA	KEN	Groundnut, Soybean, Common beans	https://doi.org/10.25502/vmvb-sn23/d	TRUE	TRUE	TRUE	doi_10.25502_VMVB-SN23_D.R 	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_VMVB-SN23_D.R 	RM & EO	fertilizer		
N2Africa agronomy trials - KEN, 2012	Vanlauwe, Bernard	2020	IITA	KEN	Groundnut, Soybean, Common beans	https://doi.org/10.25502/dgqz-yp49/d	TRUE	TRUE	TRUE	doi_10.25502_DGQZ-YP49_D.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_DGQZ-YP49_D.R 	EO	fertilizer		
N2Africa agronomy trials - Rwanda, 2010	Vanlauwe, Bernard	2020	IITA	Rwanda	Groundnut, Soybean, Common beans	 https://doi.org/10.25502/e4hb-9p62/d	TRUE	TRUE	TRUE	doi_10.25502_E4HB-9P62_D.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_E4HB-9P62_D.R 	RM	fertilizer		
N2Africa agronomy trials - Rwanda, 2011	Vanlauwe, Bernard	2020	IITA	Rwanda	Groundnut, Soybean, Common beans	https://doi.org/10.25502/q4wa-ap97/d	TRUE	TRUE	TRUE	doi_10.25502_q4wa-ap97_d.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_q4wa-ap97_d.R  	EO	fertilizer		
N2Africa agronomy trials - Rwanda, 2012	Vanlauwe, Bernard	2020	IITA	Rwanda	Groundnut, Soybean, Common beans	https://doi.org/10.25502/a7ex-ea51/d	TRUE	TRUE	TRUE	doi_10.25502_a7ex-ea51_d.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_a7ex-ea51_d.R 	EO	fertilizer		
N2Africa agronomy trials - UGA, 2016, I	Vanlauwe, Bernard	2020	IITA	UGA	Groundnut, Soybean, Common beans	https://doi.org/10.25502/6h5e-q472	TRUE	FALSE	FALSE	NA					
N2Africa agronomy trials - UGA, 2016, II	Vanlauwe, Bernard	2020	IITA	UGA	Groundnut, Soybean, Common beans	https://doi.org/10.25502/ec86-2t29 	TRUE	FALSE	FALSE	NA					
Cassava Weed Management Data - Agronomy Trials 2015	Hauser, Stefan	2020	IITA	NGA	Maize	https://doi.org/10.25502/2rb2-6439/d 	TRUE	FALSE	in progress	NA		CN	fertilizer		
Cassava Weed Management Data - Agronomy Trials 2014	Hauser, Stefan	2020	IITA	NGA	Maize	https://doi.org/10.25502/p8eq-c814/d	TRUE	FALSE	FALSE	NA					
Gliricidia impacts on soil fertility, crop yields and nutrition in ZMB	Chikoye, David	2021	IITA	ZMB	Maize, Soybean	https://doi.org/10.25502/0fa9-dm27/d	TRUE	FALSE	FALSE	NA					
Maize response to N and P	Tofa, Abdullahi	2021	IITA	NGA	Maize	https://doi.org/10.25502/07rt-7a40/d	TRUE	TRUE	TRUE	doi_10.25502_07RT-7A40_D	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_07RT-7A40_D.R 	HJ	fertilizer		
Phenotypic data of inbreds evaluated under Low N conditions in 2017	Badu-Apraku, Baffour	2021	IITA	GHA	Maize	doi.org/10.25502/y1kz-yf32/d	TRUE	FALSE	FALSE	NA					
Landscape Targeted Crop-Fertilizer Response in the Highlands of ETH	Amede, Tilahun (ICRISAT)	2021	ICRISAT	ETH	Wheat	https://doi.org/10.7910/DVN/ZXH0R8	TRUE	TRUE	TRUE	doi_10.7910_DVN_ZXH0R8.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.7910_DVN_ZXH0R8.R	SM & EGB	fertilizer		
Gains in Grain Yield of Extra-early Maize during Three Breeding Periods under Drought and Rain-fed Conditions	Badu-Apraku, Baffour	2018	IITA	NGA,GHA	Maize	http://dx.doi.org/10.25502/20181101/1228/BB	TRUE	FALSE	TRUE	doi_10.25502_20181101_1228_BB	https://github.com/reagro/carob/blob/master/scripts/international_maize_trials/doi_10.25502_20181101_1228_BB.R	CN	international_maize_trials		
IITA-ADC biochar study UGA on Maize	Roobroeck, Dries	2019	IITA	UGA	Maize, Groundnut	https://doi.org/10.25502/z5dp-be17/d	TRUE	FALSE	FALSE	NA					
IITA-ADC biochar study UGA on Rice	Roobroeck, Dries	2019	IITA	UGA	Rice	 https://doi.org/10.25502/CNe2-h823/d	TRUE	FALSE	FALSE	NA					
IITA-ADC biochar study UGA on Sorghum	Roobroeck, Dries	2019	IITA	UGA	Sorghum	 https://doi.org/10.25502/fbgw-1m42/d	TRUE	FALSE	FALSE	NA					
IITA-ADC biochar study UGA on Millet	Roobroeck, Dries	2019	IITA	UGA	Millet	https://doi.org/10.25502/edk6-ac73/d	TRUE	FALSE	FALSE	NA					
IITA-ADC biochar study UGA on Groundnut	Roobroeck, Dries	2019	IITA	UGA	Groundnut	https://doi.org/10.25502/eerp-3f45/d	TRUE	FALSE	FALSE	NA					
Yield gains and associated changes in an early yellow bi-parental Maize population following Genomic Selection for Striga resistance and drought tolerance	Baffour, Badu-Apraku	2021	IITA	NGA	Maize	https://dx.doi.org/10.25502/szwf-he08	TRUE	FALSE	FALSE	NA					
Data for: Maize-cowpea intercropping as an ecological intensification option for low input systems in sub-humid ZWE: productivity, biological N2-fixation and grain mineral content	Namatsheve, Talent (University of ZWE)	2020	CIRAD	ZWE, Goromonzi district	Maize, Cowpea	https://doi.org/10.18167/DVN1/IJOA5J	TRUE	FALSE	FALSE	NA					
Data for: Conservation agriculture in Sub-Saharan Africa, crop yields from experiments	Corbeels, Marc	2020	CIRAD	Sub-Saharan Africa	Cowpea, Maize, Rice, Sorghum, Soybean	https://doi.org/10.18167/DVN1/DLTQWR	TRUE	TRUE	TRUE	doi_10.18167_DVN1_DLTQWR	carob/doi_10.18167_DVN1_DLTQWR.R at master · reagro/carob · GitHub	EGB	fertilizer		
Rainfed Rice yield and management data from 2006 to 2010 on farmer's fields under conservation agriculture in the Lake Alaotra region of Madagascar	Bruelle, Guillaume	2020	CIRAD	Madagascar, Alaotra Mangoro, Ambatondrazaka	Rice	https://doi.org/10.18167/DVN1/2EHEQT	TRUE	FALSE	FALSE	NA					
Agronomic management of Rice blast datasets	Auzoux, Sandrine	2019	CIRAD	Madagascar, Antananarivo, Antsirabe, rÃ©gion Vakinankaratra	Rice	https://doi.org/10.18167/DVN1/Y5HADO	TRUE	FALSE	FALSE	NA					
Ecosystem functions in rainfed Rice based short rotations in Malagasy highlands	Ripoche, Aude	2021	CIRAD	Madagascar, Vakinankaratra, Ivory	Rice	https://doi.org/10.18167/DVN1/XYOHRP	TRUE	FALSE	FALSE	NA					
2.1-Rabi (winter) crops-all nodes-Long term trial (LT) -Rajshahi-BGD	Gathala, Mahesh K.	2018	CIMMYT	BGD, Rajshahi	Wheat, Maize	https://hdl.handle.net/11529/10547963	TRUE	FALSE	FALSE	NA					
2.2-Rabi (winter) crops-all nodes-Long term trial (LT)-Rangpur-BGD	Gathala, Mahesh K.	2018	CIMMYT	BGD, Rangpur	Wheat, Maize	https://hdl.handle.net/11529/10548076	TRUE	FALSE	FALSE	NA					
2.4-Rabi (winter) crops-all nodes-Long term trial (LT)-Purnea-Bihar	Gathala, Mahesh K.	2018	CIMMYT	IND, Purnea	Wheat, Maize	https://hdl.handle.net/11529/10547966	TRUE	FALSE	FALSE	NA					
2.7-Rabi (winter) crops-all nodes-Long term trial (LT)-Choochbehar-West Bengal	Gathala, Mahesh K.	2018	CIMMYT	IND, Choochbehar	Wheat, Maize	https://hdl.handle.net/11529/10547969	TRUE	FALSE	FALSE	NA					
2.8-Rabi (winter) crops-all nodes-Long term trial (LT)-Malda-West Bengal	Gathala, Mahesh K.	2018	CIMMYT	IND, Malda	Wheat, Maize	https://hdl.handle.net/11529/10547970 	TRUE	FALSE	FALSE	NA					
4.2-Rabi (winter) crops-all nodes-Alternative cropping systems trial -Rangpur-BGD	Gathala, Mahesh K.	2018	CIMMYT	BGD, Rangpur	Wheat, Maize	https://hdl.handle.net/11529/10547995	TRUE	FALSE	FALSE	NA					
4.4-Rabi (winter) crops-all nodes-Alternative cropping systems trial-Sunsari-NPL	Gathala, Mahesh K.	2018	CIMMYT	NPL	Wheat, Maize	https://hdl.handle.net/11529/10547997	TRUE	FALSE	FALSE	NA					
6.1-Rabi (winter) crops-all nodes-Validation trials-Rajshahi-BGD	Gathala, Mahesh K.	2018	CIMMYT	BGD, Rajshahi	Wheat, Maize	https://hdl.handle.net/11529/10548007	TRUE	FALSE	FALSE	NA					
6.2- Rabi (winter) crops-all nodes- Validation trials -Rangpur-BGD	Gathala, Mahesh K.	2018	CIMMYT	BGD, Rangpur	Wheat, Maize	https://hdl.handle.net/11529/10548008	TRUE	FALSE	FALSE	NA					
7.2-APSIM-BARI OFRD-Rangpur-on-station research trials-SRFSI Project-ACIAR-CIMMYT	Gaydon, Don	2018	CIMMYT	BGD, Rangpur	Wheat, Maize	https://hdl.handle.net/11529/10548008	TRUE	FALSE	FALSE	NA					
8.3-Zero tillage Maize weed management-on-station research trials-SRFSI Project-ACIAR-CIMMYT	Gathala, Mahesh K.	2018	CIMMYT	IND, BGD, NPL	Maize	https://hdl.handle.net/11529/10548052	TRUE	FALSE	FALSE	NA					
Facilitating the widespread adoption of conservation agriculture in Maize-based systems in ZMB	Thierfelder, Christian	2016	CIMMYT	ZMB	Maize, Soybean	https://hdl.handle.net/11529/10825 	TRUE	FALSE	TRUE	hdl_11529_10825.R	https://github.com/reagro/carob/blob/master/scripts/wheat_yield/hdl_11529_10825.R	CN	wheat_yield		
International Late White Hybrid Trial - ILWH0607	Global Maize Program	2018	CIMMYT	MEX, GHA	Maize	https://hdl.handle.net/11529/10554	TRUE	FALSE	FALSE						
International Intermediate White Hybrid Trial - IIWH0752	Global Maize Program	2019	CIMMYT	MEX, ETH, Costa Rica, Egypt	Maize	https://hdl.handle.net/11529/10546	TRUE	FALSE	FALSE	NA					
International Late Yellow Variety Trial - ILYV0604	Global Maize Program	2018	CIMMYT	MEX, NGA, IND, GHA	Maize	https://hdl.handle.net/11529/10551	TRUE	FALSE	FALSE	NA					
International Late Both Hybrid Trial - ILBH0651	Global Maize Program	2019	CIMMYT	MEX	Maize	https://hdl.handle.net/11529/10567	TRUE	FALSE	FALSE	NA					
International Late Yellow Hybrid Trial - ILYH0608	Global Maize Program	2019	CIMMYT	MEX, Bolivia, GHA, IND, NGA, Viet Nam, Sudan	Maize	https://hdl.handle.net/11529/10560	TRUE	FALSE	FALSE	NA					
International Early Yellow Hybrid Trial - IEYH0612	Global Maize Program	2019	CIMMYT	Bolivia, MEX	Maize	https://hdl.handle.net/11529/10563	TRUE	FALSE	FALSE	NA					
Maize experiment with increasing rates of nitrogen to develop a calibration for the GreenSeeker in Yaqui Valley	Orti­z-Monasterio Rosas, Jose Ivan	2022	CIMMYT	MEX	Maize	https://hdl.handle.net/11529/10548652	TRUE	FALSE	FALSE	NA					
Yield data for pedigree-based prediction models with genotype by environment interaction in multi-environment trials of CIMMYT Wheat	Sukumaran, Sivakumar	2016	CIMMYT	MEX	Maize	https://hdl.handle.net/11529/10831	TRUE	TRUE	TRUE	hdl_11529_10831.R	https://github.com/reagro/carob/blob/master/scripts/wheat_yield/hdl_11529_10831.R	CN	wheat_yield		
16th Semi-Arid Wheat Yield trial	Global Wheat Program	2015	CIMMYT	ARG, BGD, Brazil, Canada, China, Egypt, IND, Kazakhstan, MEX, NPL, Pakistan, Peru, Portugal, Qatar, Serbia, Somalia, South Africa, Spain, Syrian Arab Republic, Ukraine, Uzbekistan, ZWE	Wheat	https://hdl.handle.net/11529/10271	TRUE	FALSE	FALSE	NA					
13th Semi-Arid Wheat Yield Trial	Global Wheat Program	2015	CIMMYT	ARG, BGD, Brazil, Canada, China, Egypt, IND, Kazakhstan, MEX, NPL, Pakistan, Peru, Portugal, Qatar, Serbia, Somalia, South Africa, Spain, Syrian Arab Republic, Ukraine, Uzbekistan, ZWE	Wheat	https://hdl.handle.net/11529/10314	TRUE	FALSE	FALSE	NA					
Replication Data for: Nonlinear heat effects on African Maize as evidenced by historical yield trials	Lobell, David B.	2019	CIMMYT	AGO, Botswana, Congo, Eritrea, ETH, KEN, Lesotho, MWI, MOZ, Namibia, South Africa, Swaziland, TZN, United Republic of, UGA, Congo, the Democratic Republic of the, ZMB, ZWE	Maize	https://hdl.handle.net/11529/10548190	TRUE	FALSE	FALSE	NA					
Replication Data for: Integrated weed management in transplanted Rice: Options for addressing labor constraints and improving farmers income in BGD	Ahmed,Sharif	2021	CIMMYT	BGD	Rice	https://hdl.handle.net/11529/10548600	TRUE	FALSE	FALSE	NA					
Aerial High-Throughput Phenotyping Enabling Indirect Selection for Grain Yield at the Early-generation Seed-limited Stages in Breeding Program - data for publication	Krause, Margaret R.	2020	CIMMYT	?????	Wheat	https://hdl.handle.net/11529/10548379	TRUE	FALSE	FALSE	NA					
